m(max camber)=,0.04,,,,,,,,,
p(max position)=,0.4,,,,,,,,,
t(thickness)=,0.12,,,,,,,,,
AOA(⍺)=,-10,,,,,,,,,
Conversion(Radians)=,-0.174532925199433,,,,,,,,,
,X,Yc,Chord X,Chord Y,Slope angle(θ),Yt,xu,yu,xl,yl
,0.07,0.012775,,,0.165,0.0408627565863046,0.0632881969800028,0.0530827731467807,0.0767118030199972,-0.0275327731467807
,0.0725,0.0131859375,,,0.16375,0.0414391261885181,0.0657446276269549,0.0540707283563738,0.0792553723730451,-0.0276988533563738
,0.075,0.01359375,,,0.1625,0.0419990347204226,0.0682051536444328,0.055039485371103,0.0817948463555672,-0.027851985371103
,0.0775,0.0139984375,,,0.16125,0.0425432040345356,0.0706695985738234,0.0559897440512543,0.0843304014261766,-0.0279928690512543
,0.08,0.0144,,,0.16,0.0430722992962286,0.0731377985213728,0.0569221490229577,0.0868622014786272,-0.0281221490229577
,0.0825,0.0147984375,,,0.15875,0.0435869351331478,0.0756096008383705,0.0578372956829798,0.0893903991616295,-0.0282404206829798
,0.085,0.01519375,,,0.1575,0.0440876809518246,0.0780848629772657,0.0587357353895833,0.0919151370227343,-0.0283482353895833
,0.0875,0.0155859375,,,0.15625,0.0445750655553144,0.080563451495729,0.0596179799703246,0.094436548504271,-0.0284461049703246
,0.09,0.015975,,,0.155,0.045049581171,0.0830452411857966,0.0604845056534981,0.0969547588142034,-0.0285345056534981
,0.0925,0.0163609375,,,0.15375,0.0455116869781123,0.0855301143093123,0.0613357565107801,0.0994698856906877,-0.0286138815107801
,0.095,0.01674375,,,0.1525,0.0459618122088822,0.0880179599241333,0.0621721474833313,0.101982040075867,-0.0286846474833313
,0.0975,0.0171234375,,,0.15125,0.0464003588846681,0.0905086732881898,0.0629940670513232,0.10449132671181,-0.0287471920513232
,0.1,0.0175,,,0.15,0.0468277042382395,0.0930021553306114,0.0638018795969142,0.106997844669389,-0.0288018795969142
,0.11,0.018975,,,0.145,0.0484318636263911,0.103001962349214,0.0668986150907204,0.116998037650786,-0.0289486150907204
,0.12,0.0204,,,0.14,0.049881816188064,0.113039336005006,0.0697937723095594,0.126960663994994,-0.0289937723095594
,0.13,0.021775,,,0.135,0.0511934370321155,0.123109859388312,0.0725026449040595,0.136890140611688,-0.0289526449040595
,0.14,0.0231,,,0.13,0.052379744863991,0.133209796683918,0.0750377590096364,0.146790203316082,-0.0288377590096364
,0.15,0.024375,,,0.125,0.0534516022043389,0.143335935746161,0.0774095550168151,0.156664064253839,-0.0286595550168151
,0.16,0.0256,,,0.12,0.054418208256,0.153485476172966,0.079626867104251,0.166514523827034,-0.028426867104251
,0.17,0.026775,,,0.115,0.055287454865753,0.163655947644441,0.0816972693016466,0.176344052355559,-0.0281472693016466
,0.18,0.0279,,,0.11,0.0560661893763429,0.17384514899585,0.083627330819811,0.18615485100415,-0.027827330819811
,0.19,0.028975,,,0.105,0.0567604125112336,0.184051101863138,0.0854228081009586,0.195948898136862,-0.0274728081009586
,0.2,0.03,,,0.1,0.0573754299023625,0.194272014801267,0.0870887917374681,0.205727985198733,-0.0270887917374681
,0.21,0.030975,,,0.095,0.0579159698809433,0.204506255078369,0.0886298205615661,0.215493744921631,-0.0266798205615661
,0.22,0.0319,,,0.09,0.0583862762814946,0.214752326194745,0.0900499714329479,0.225247673805255,-0.0262499714329479
,0.23,0.032775,,,0.085,0.0587901824472928,0.225008849738694,0.0913529307525883,0.234991150261306,-0.0258029307525883
,0.24,0.0336,,,0.08,0.0591311708918791,0.235274550574137,0.0925420520406969,0.244725449425863,-0.0253420520406969
,0.25,0.034375,,,0.075,0.059412421875,0.245548244620542,0.0936204027507151,0.254451755379458,-0.0248704027507151
,0.26,0.0351,,,0.07,0.0596368533111419,0.255828828673168,0.0945908026724877,0.264171171326832,-0.0243908026724877
,0.27,0.035775,,,0.065,0.0598071538290959,0.266115271846156,0.0954558556934958,0.273884728153844,-0.0239058556934958
,0.28,0.0364,,,0.06,0.0599258103666092,0.276406608318891,0.096217976264004,0.283593391681109,-0.023417976264004
,0.29,0.036975,,,0.055,0.059995131365294,0.286701931138302,0.0968794116015038,0.293298068861698,-0.0229294116015038
,0.3,0.0375,,,0.05,0.0600172663939703,0.297000386883732,0.0974422604391719,0.302999613116268,-0.0224422604391719
,0.31,0.037975,,,0.045,0.059994222850454,0.307301171041738,0.0979084889497014,0.312698828958262,-0.0219584889497014
,0.32,0.0384,,,0.04,0.0599278802564573,0.317603523969328,0.0982799443442184,0.322396476030672,-0.0214799443442184
,0.33,0.038775,,,0.035,0.0598200025564284,0.327906727348112,0.0985583665450178,0.332093272651888,-0.0210083665450178
,0.34,0.0391,,,0.03,0.0596722487507742,0.338210101050513,0.0987453982527143,0.341789898949487,-0.0205453982527143
,0.35,0.039375,,,0.025,0.0594861821311366,0.348513000353813,0.0988425936674,0.351486999646187,-0.0200925936674
,0.36,0.0396,,,0.02,0.059263278336,0.358814813449404,0.0988514260754161,0.361185186550596,-0.0196514260754161
,0.37,0.039775,,,0.015,0.0590049324057325,0.369114959203815,0.0987732944752995,0.370885040796185,-0.0192232944752995
,0.38,0.0399,,,0.01,0.0587124649848893,0.379412885135513,0.0986095293861035,0.380587114864487,-0.0188095293861035
,0.39,0.039975,,,0.005,0.0583871277944691,0.389708065577425,0.0983613979568922,0.390291934422575,-0.0184113979568922
,0.4,0.04,,,0,0.058030108476479,0.4,0.098030108476479,0.4,-0.018030108476479
,0.42,0.0399555555555556,,,-0.01,0.0572254789774376,0.420572245252242,0.0971781732828882,0.419427754747758,-0.017267062171777
,0.44,0.0398222222222222,,,-0.02,0.0563069482867822,0.441126063891306,0.0961179094947217,0.438873936108694,-0.0164734650502773
,0.46,0.0396,,,-0.03,0.0552820944953935,0.461658214076631,0.0948572194185853,0.458341785923369,-0.0156572194185853
,0.48,0.0392888888888889,,,-0.04,0.0541577863601279,0.482165733817563,0.0934033547964512,0.477834266182437,-0.0148255770186734
,0.5,0.0388888888888889,,,-0.05,0.0529402520005716,0.502645909815969,0.0917629793598349,0.497354090184031,-0.0139852015820571
,0.52,0.0384,,,-0.06,0.051635135338231,0.523096249589989,0.0899422199742495,0.516903750410011,-0.0131422199742495
,0.54,0.0378222222222222,,,-0.07,0.0502475428498186,0.543514456218631,0.0879467088523283,0.536485543781369,-0.0123022644078839
,0.56,0.0371555555555556,,,-0.08,0.048782082591982,0.563898405201517,0.0857816187202386,0.556101594798483,-0.0114705076091274
,0.58,0.0364,,,-0.09,0.0472428970038597,0.584246123042618,0.0834516923863982,0.575753876957382,-0.0106516923863982
,0.6,0.0355555555555556,,,-0.1,0.0456336906586779,0.60455576725266,0.080961267837949,0.59544423274734,-0.00985015672683785
,0.62,0.0346222222222222,,,-0.11,0.0439577538836464,0.624825607529965,0.0783142997473522,0.615174392470035,-0.00906985530290781
,0.64,0.0336,,,-0.12,0.042217982976,0.645054007929343,0.0755143780869043,0.634945992070657,-0.00831437808690431
,0.66,0.0324888888888889,,,-0.13,0.040416897596185,0.665239409867229,0.0725647444074388,0.654760590132771,-0.00758696662966097
,0.68,0.0312888888888889,,,-0.14,0.038556655805506,0.685380315841366,0.0694683062279658,0.674619684158634,-0.00689052845018798
,0.7,0.03,,,-0.15,0.0366390671267802,0.705475273767001,0.0662276498975175,0.694524726232999,-0.00622764989751747
,0.72,0.0286222222222222,,,-0.16,0.0346656039366859,0.725522861850393,0.0628450522232121,0.714477138149607,-0.00560060777876766
,0.74,0.0271555555555556,,,-0.17,0.0326374114430973,0.745521673935409,0.0593224911052321,0.734478326064591,-0.00501137999412088
,0.76,0.0256,,,-0.18,0.0305553164564671,0.765470305271092,0.0556616553768402,0.754529694728908,-0.00446165537684025
,0.78,0.0239555555555556,,,-0.19,0.0284198351287643,0.785367338657833,0.0518639540133367,0.774632661342167,-0.00395284290222552
,0.8,0.0222222222222222,,,-0.2,0.026231179804725,0.80521133093777,0.0479305248461773,0.79478866906223,-0.00348608040173292
,0.82,0.0204,,,-0.21,0.0239892651067799,0.825000799801541,0.043862242895944,0.814999200198459,-0.00306224289594404
,0.84,0.0184888888888889,,,-0.22,0.0216937133558867,0.84473421088888,0.039659728419408,0.83526578911112,-0.00268195064163022
,0.86,0.0164888888888889,,,-0.23,0.0193438594147605,0.86440996516499,0.0353233547507495,0.85559003483501,-0.00234557697297174
,0.88,0.0144,,,-0.24,0.0169387550269892,0.884026386558321,0.0308532560044303,0.875973613441679,-0.00205325600443032
,0.9,0.0122222222222222,,,-0.25,0.0144771727147185,0.903581709848433,0.0262493346967634,0.896418290151567,-0.00180489025231897
,0.92,0.00995555555555555,,,-0.26,0.0119576092885856,0.92307406879522,0.0215112693344928,0.91692593120478,-0.00160015822338174
,0.94,0.00760000000000001,,,-0.27,0.00937828901602896,0.942501484502928,0.0166385220113566,0.937498515497072,-0.00143852201135661
,0.96,0.00515555555555556,,,-0.28,0.00673716648775812,0.961861854014209,0.0116303460474206,0.958138145985791,-0.00131923493630946
,0.98,0.00262222222222223,,,-0.29,0.00403192921680022,0.981152939131009,0.00648579370072175,0.978847060868991,-0.00124134925627729
,1,0,,,,0.00126,1,0.00126,1,-0.00126
